日期,cp,pb,pe
2019/6/26,2903.49,1.5086273114205095,13.936870126518016
2019/6/25,2910.12,1.4870698932069513,13.949738677197345
2019/6/24,2949.52,1.4905708956498929,14.135095151226476
2019/6/21,2938.77,1.4991920327554165,14.13306738433543
2019/6/20,2942.63,1.492920082554868,13.96704726853802
2019/6/19,2842.74,1.4536637494980065,13.753695836626703
2019/6/18,2806.45,1.414605894519489,13.595897817443477
2019/6/17,2793.7,1.414338581066077,13.539434970464542
2019/6/14,2785.61,1.362463391151866,11.092154745169044
2019/6/13,2794.54,1.362129548616177,11.162016054405274
2019/6/12,2796.73,1.36933306010414,11.174417453058046
2019/6/11,2812.9,1.3805158948759142,11.300179344663295
2019/6/10,2743.37,1.3500581200199089,11.35928564249906
2019/6/6,2706.76,1.3412362297881537,11.15483678118674
2019/6/5,2719.59,1.364910625835884,11.182856550835538
2019/6/4,2721.31,1.3510617677637375,11.165393806756937
2019/6/3,2743.06,1.3588016320899543,11.267602159412256
2019/5/31,2728.95,1.3364172362439686,11.239394736855036
2019/5/30,2742.96,1.3325991960348151,11.286844964570065
2019/5/29,2755.81,1.3427115818706268,11.274942212639205
2019/5/28,2748.8,1.3584580365173056,11.191445862418096
2019/5/27,2722.33,1.3295442803885518,11.108635811827329
2019/5/24,2702.03,1.3063117915093123,11.0187967018231
2019/5/23,2685.93,1.3112780929826704,11.014362627125916
2019/5/22,2725.73,1.3397062303855298,11.162176834413689
2019/5/21,2739.79,1.345329708616364,11.233148445076962
2019/5/20,2715.43,1.3194814587139057,11.188947345706868
2019/5/17,2735.21,1.321711732425643,11.226087229661818
2019/5/16,2791.41,1.3656960769716078,11.39117652811976
2019/5/15,2783.54,1.3668850919888202,11.319298808916042
2019/5/14,2724.73,1.3449042446316681,11.117380620316633
2019/5/13,2741.11,1.3501892093450565,11.152772599194059
2019/5/10,2793.76,1.3806508002788975,11.410387177275885
2019/5/9,2698.78,1.3297800840304057,10.98930786490858
2019/5/8,2758.24,1.3510346287896196,11.172358554167031
2019/5/7,2806.26,1.3630942739753444,11.41579167251688
2019/5/6,2805.04,1.3541653946319154,11.407701007656225
2019/4/30,2945.24,1.49513999124993,12.005649029507277
2019/4/29,2939.41,1.4806639103413253,11.739758161166794
2019/4/26,2892.86,1.5247621282238888,11.40200810901078
2019/4/25,2928.0,1.54025603192266,11.537718938328966
2019/4/24,2974.85,1.5763701350649033,11.712742690906381
2019/4/23,2978.85,1.5702165409325186,12.7143339184102
2019/4/22,2970.49,1.5999130570724107,11.635129147838828
2019/4/19,3042.43,1.6393155400153374,11.83234701646533
2019/4/18,3004.92,1.6316307358788986,11.677768467066231
2019/4/17,3017.42,1.6340505717866591,11.758178993431676
2019/4/16,3023.03,1.619628736963585,11.898380167281926
2019/4/15,2924.93,1.5886793231728056,11.589727815898245
2019/4/12,2920.52,1.607980600540836,11.730811863945036
2019/4/11,2928.43,1.6093662922715612,11.551850117710694
2019/4/10,2979.1,1.6615667530006872,12.046379127891214
2019/4/9,2967.51,1.681186574351782,12.115522838481336
2019/4/8,2962.27,1.658628914355366,12.198981484628028
2019/4/4,2951.98,1.7060960257606317,11.721603816656355
2019/4/3,2920.0,1.6462369185966743,11.578135741717231
2019/4/2,2888.53,1.6131765710959265,11.621720801065953
2019/4/1,2892.62,1.6305887041636078,11.579292180738125
2019/3/29,2838.51,1.5736103994472692,11.297673270654926
2019/3/28,2733.97,1.4735436262656405,10.96900196724454
2019/3/27,2741.59,1.4846181547810504,11.181834569510924
2019/3/26,2706.15,1.464423446834643,10.687033349137165
2019/3/25,2718.18,1.4993507092236704,10.725875422032844
2019/3/22,2795.39,1.540148882871864,10.46684950241816
2019/3/21,2802.96,1.555842198065089,10.342728064971414
2019/3/20,2812.92,1.5593354477756305,10.417156451251753
2019/3/19,2806.9,1.5595725375844969,10.471547106734944
2019/3/18,2825.18,1.5519800241918507,10.52440546842437
2019/3/15,2755.81,1.518433459274084,10.290529867741798
2019/3/14,2729.13,1.5090433674045212,9.97357030441879
2019/3/13,2723.96,1.5116373690895129,9.874602629121878
2019/3/12,2719.77,1.5156623191128935,9.907955024117236
2019/3/11,2708.6,1.4953709484441289,9.858677738629405
2019/3/8,2685.59,1.44415124568516,9.79966148186561
2019/3/7,2789.7,1.5366895506857343,10.094199528212444
2019/3/6,2840.27,1.5633781680468168,10.397702431816274
2019/3/5,2828.87,1.5599024878363912,10.399450128192733
2019/3/4,2832.59,1.5424529387408141,10.520037946337487
2019/3/1,2819.47,1.5101599903105138,10.621074459819825
2019/2/28,2743.97,1.484997970518236,10.281395266595856
2019/2/27,2750.34,1.523428924447029,10.167224938659677
2019/2/26,2733.9,1.5038284084283169,10.135801089785144
2019/2/25,2787.7,1.5336919555127981,10.290609758548474
2019/2/22,2623.07,1.446698614881846,9.80060632781432
2019/2/21,2577.23,1.4139190724633828,9.70418526700216
2019/2/20,2588.17,1.4140922102387146,9.740369020743817
2019/2/19,2579.05,1.3925269841336179,9.716623774797467
2019/2/18,2582.85,1.3906232009043418,9.75997676988598
2019/2/15,2517.46,1.3393072887757649,9.455335297192713
2019/2/14,2576.31,1.3865962940816774,9.674426805335344
2019/2/13,2580.61,1.3959377834407407,9.657419030807336
2019/2/12,2533.18,1.3623847787337828,9.432622614326732
2019/2/11,2527.47,1.3517777274786855,9.45215878540882
2019/2/1,2499.64,1.3373566568173576,9.471038033903577
2019/1/31,2483.47,1.3332311957763787,9.4482983257494
2019/1/30,2440.01,1.3266299980217204,9.23852069810413
