date,cp,pb,pe
2019/6/26,2976.28,2.172412961424843,30.802265514671344
2019/6/25,2982.07,2.175843376484371,30.859855670065688
2019/6/24,3008.15,2.2007283976314405,30.997851446267106
2019/6/21,3001.98,2.198704136623421,30.88642206347415
2019/6/20,2987.12,2.1479224896013833,30.383594592018135
2019/6/19,2917.8,2.11467329314951,29.964753792790688
2019/6/18,2890.16,2.0938877235819726,29.23350475512862
2019/6/17,2887.62,2.0915760466450655,29.596776469466995
2019/6/14,2881.97,2.091782994827211,29.36531809675396
2019/6/13,2910.74,2.1174683051758665,29.93095821836198
2019/6/12,2909.38,2.1106183475319753,29.96327374544346
2019/6/11,2925.72,2.1102327289649425,30.088605446079878
2019/6/10,2852.13,2.0427839317618384,29.05403102334019
2019/6/6,2827.8,2.026720769954053,28.62338272906998
2019/6/5,2861.42,2.0730958859254303,29.32699955543073
2019/6/4,2862.28,2.071377262199193,29.449835297396184
2019/6/3,2890.08,2.0941436203906925,29.98566154820118
2019/5/31,2898.7,2.116604738012763,30.175311452099685
2019/5/30,2905.81,2.1177769158446464,29.96432738614191
2019/5/29,2914.7,2.1195447491328463,29.998208728826818
2019/5/28,2909.91,2.102190117890314,30.04457651344693
2019/5/27,2892.38,2.097989674029394,29.731488839405774
2019/5/24,2852.99,2.04912060037036,28.879541627993692
2019/5/23,2852.52,2.0463729609731884,29.216635369894362
2019/5/22,2891.7,2.092874204949433,29.70263699436713
2019/5/21,2905.97,2.1191082253653,29.88190084203261
2019/5/20,2870.6,2.08364355739633,29.31226792784877
2019/5/17,2882.3,2.0802326834555283,29.578292663620008
2019/5/16,2955.71,2.1779095063815865,30.57253162821009
2019/5/15,2938.68,2.1442174456346472,30.4974889031131
2019/5/14,2883.61,2.1139568857837343,29.71377383513477
2019/5/13,2903.71,2.127739431627936,29.88234943309784
2019/5/10,2939.21,2.14423077597909,30.17029569041562
2019/5/9,2850.95,2.0738312583250664,29.28730918567008
2019/5/8,2893.76,2.0864630898768226,29.497564719015145
2019/5/7,2926.39,2.0862578921552744,29.85855775134705
2019/5/6,2906.46,2.061398418569868,29.510997294791423
2019/4/30,3078.34,2.2215616281609774,31.608046560311674
2019/4/29,3062.5,2.2001516258280005,30.745994905523485
2019/4/26,3086.4,2.2782443435094515,31.78289829733413
2019/4/25,3123.83,2.3193606802234443,31.628588635212694
2019/4/24,3201.61,2.4294436066605227,33.170524104419215
2019/4/23,3198.59,2.4136758827594904,32.88140582546715
2019/4/22,3215.04,2.4448573935254623,33.490569605968716
2019/4/19,3270.8,2.4702486997736743,33.85149903281861
2019/4/18,3250.2,2.472804409234309,33.49808655730074
2019/4/17,3263.12,2.4759311947148124,33.727760986114376
2019/4/16,3253.6,2.4823807969527145,33.497059225163234
2019/4/15,3177.79,2.4316734004833243,32.556070186023405
2019/4/12,3188.63,2.454977911480454,32.82113085430469
2019/4/11,3189.96,2.4648877048257383,33.09271088507139
2019/4/10,3241.93,2.505928468518807,33.81591784598045
2019/4/9,3239.66,2.4936426081085585,33.61056422330809
2019/4/8,3244.81,2.4985328061774137,33.348156123587586
2019/4/4,3246.57,2.4864297106371085,33.45457380714
2019/4/3,3216.3,2.4728380860871093,33.452198798289054
2019/4/2,3176.82,2.4389472983369265,33.11791465271771
2019/4/1,3170.36,2.425309130321806,33.1742724637528
2019/3/29,3090.76,2.357646161046425,32.120422196804775
2019/3/28,2994.94,2.3066331968239098,31.305384248715765
2019/3/27,3022.72,2.356884327943225,31.765003027102967
2019/3/26,2997.1,2.31320760283138,31.192152722033356
2019/3/25,3043.03,2.3873753895270293,31.78122412749282
2019/3/22,3104.15,2.4097850296718137,32.18657767218845
2019/3/21,3101.46,2.4118973769122656,31.982878069794644
2019/3/20,3090.64,2.3792792779632808,31.693094774999214
2019/3/19,3090.98,2.362244078902957,31.642433360746946
2019/3/18,3096.42,2.36616139351159,31.59303551503025
2019/3/15,3021.75,2.3096730966974057,30.71606422717909
2019/3/14,2990.69,2.266019326063764,30.19498585614593
2019/3/13,3026.95,2.3304281663037827,31.252374638717605
2019/3/12,3060.31,2.3662589072868734,31.788179953937274
2019/3/11,3026.99,2.3152906354462326,31.227165830084477
2019/3/8,2969.86,2.235093113491857,30.11759722281449
2019/3/7,3106.42,2.362188767016482,31.63235112648002
2019/3/6,3102.1,2.312449280173157,31.14161243307919
2019/3/5,3054.25,2.276927743106624,30.404308510265345
2019/3/4,3027.58,2.2293875278069883,29.58255658668881
2019/3/1,2994.0,2.1919128264824583,28.980218256740084
2019/2/28,2940.95,2.1743286904835646,28.98011466910233
2019/2/27,2953.82,2.1841117790046587,28.99963754486373
2019/2/26,2941.52,2.191924592914583,28.927651014017858
2019/2/25,2961.28,2.1898541827643263,29.171098130956594
2019/2/22,2804.23,2.0776017835936447,27.860627521019264
2019/2/21,2751.8,2.030412572709029,27.439398245724398
2019/2/20,2761.22,2.0431203097655515,27.364067477730092
2019/2/19,2755.65,2.041937713274952,27.179557841995692
2019/2/18,2754.36,2.037078761638679,27.252804422899995
2019/2/15,2682.39,1.9759802878822608,26.357300583128875
2019/2/14,2719.7,1.9772356849537365,26.367967612949506
2019/2/13,2721.07,1.9617946176358012,26.30272643360326
2019/2/12,2671.89,1.9288720975297504,25.81344927712184
2019/2/11,2653.9,1.9054737945379692,25.60537521647359
2019/2/1,2618.23,1.8581105341258832,24.875279554848433
2019/1/31,2584.57,1.8136018657322728,24.35566678510605
2019/1/30,2575.58,1.8480024649668592,24.754733629900517
2019/1/29,2594.25,1.865069944103397,25.14260521105813
