cp,date,fifty_median,hundred_median,pb,pb_percentile,pe,pe_percentile
6842.818,2019/12/20,6711.672960000001,6536.5553899999995,0.8980710382744629,13.311421528348397,6.777092964664215,54.313886606409206
6842.12,2019/12/19,6708.0388,6533.953810000001,0.8984273629051341,13.311421528348397,6.751827150776641,53.45110928512736
6831.31,2019/12/18,6701.804,6530.39601,0.8962332572686363,12.941659819227608,6.696123499053508,51.02711585866886
6824.45,2019/12/17,6695.863200000001,6526.57141,0.9010214128751832,14.050944946589976,6.6788647290458245,49.95891536565325
6730.24,2019/12/16,6688.598200000002,6522.70281,0.8838363248065084,9.531635168447,6.601974965614924,45.76828266228431
6747.0,2019/12/13,6681.4826,6519.956209999999,0.8699134487260494,5.464256368118324,6.431573859503358,36.44207066557107
6617.26,2019/12/12,6675.300400000002,6516.2436099999995,0.856259355763703,1.6433853738701725,6.303693545751932,26.910435497124077
6634.24,2019/12/11,6671.6197999999995,6513.883109999999,0.859404148322131,2.1774856203779787,6.339609010816373,28.92358258011504
6562.25,2019/12/10,6665.806,6511.605009999999,0.855525082132923,1.437962202136401,6.262157440937102,25.390304026294167
6586.64,2019/12/9,6660.83586,6510.157410000001,0.8595205046886918,2.1364009860312243,6.291342363172522,26.1709120788825
6597.85,2019/12/6,6655.593020000001,6508.553709999999,0.864545454904462,3.944124897288414,6.31219698047339,27.40345110928513
6590.96,2019/12/5,6651.291620000001,6506.32461,0.8625883811335935,3.0813475760065736,6.323063820805203,28.142974527526704
6558.07,2019/12/4,6646.501620000001,6504.057409999999,0.8601333745060271,2.2596548890714874,6.301935419026405,26.581758422350042
6593.44,2019/12/3,6642.157020000001,6502.51601,0.8599180125154071,2.1774856203779787,6.3153387947554815,27.64995891536565
6569.36,2019/12/2,6637.01802,6501.067709999999,0.8584653142600482,1.8898931799506984,6.289411106660092,26.047658175842233
6564.22,2019/11/29,6633.980619999999,6501.06281,0.8559694050161163,1.5201314708299096,6.274025061129822,25.636811832374693
6604.51,2019/11/28,6631.73422,6501.38821,0.857674149574708,1.6844700082169268,6.279754824097939,25.718981101068202
6630.41,2019/11/27,6628.17362,6501.39721,0.8635892912726684,3.2046014790468367,6.33872994745361,28.430566967953986
6624.7,2019/11/26,6623.1480200000005,6501.56211,0.8641503619754152,3.410024650780608,6.395653776943905,32.49794576828266
6665.31,2019/11/25,6618.73202,6501.81151,0.8642132346284497,3.410024650780608,6.372987940483554,30.936729663106
6586.63,2019/11/22,6613.90962,6500.80021,0.8574758912054641,1.6023007395234183,6.313407538243052,27.280197206244864
6611.1,2019/11/21,6609.830419999999,6500.783410000001,0.8556856630553992,1.437962202136401,6.303419761273999,26.622843056696794
6628.39,2019/11/20,6603.7002200000015,6499.900310000001,0.8576955462042524,1.6023007395234183,6.285433173777293,25.883319638455216
6749.47,2019/11/19,6595.274820000001,6499.16131,0.8694061521472128,4.6014790468364835,6.425996164515029,35.12736236647494
6752.59,2019/11/18,6584.500620000001,6498.62931,0.8692213272842824,4.519309778142975,6.440394023464805,36.1544782251438
6673.03,2019/11/15,6572.95882,6497.920010000001,0.8579482511252845,1.6023007395234183,6.3385568176667055,28.26622843056697
6672.68,2019/11/14,6562.752420000001,6498.57721,0.8591429524098626,1.80772391125719,6.313623612792014,27.198027937551355
6707.98,2019/11/13,6553.327620000001,6497.60231,0.8619676237820784,2.4650780608052587,6.3398250853653355,28.30731306491372
6737.12,2019/11/12,6544.2604200000005,6496.07341,0.8701866188506315,4.683648315529992,6.420591599313605,34.42892358258012
6724.28,2019/11/11,6534.05022,6493.96391,0.8659147178710267,3.533278553820871,6.418055063916343,34.22350041084634
6827.8,2019/11/8,6526.190419999999,6491.723209999999,0.8842524744433404,8.751027115858669,6.495953548060452,39.60558751027116
6914.32,2019/11/7,6514.90822,6488.52651,0.8920653518878391,10.723089564502876,6.585803030721644,43.960558751027115
6932.2,2019/11/6,6502.08522,6484.58211,0.8890458292279996,9.778142974527526,6.574828069578361,43.42645850451931
6910.08,2019/11/5,6489.318219999999,6480.571209999999,0.8928497609580746,10.887428101889894,6.622847756192426,45.52177485620378
6831.85,2019/11/4,6477.216819999999,6476.10441,0.8821711213419978,7.888249794576828,6.472400162604936,38.5784716516023
6793.98,2019/11/1,6466.08862,6471.566510000001,0.8831092909004948,8.299096138044371,6.467917446334602,38.00328677074774
6654.02,2019/10/31,6456.05222,6467.4253100000005,0.8735256007473111,5.669679539852095,6.389087960745706,31.79950698438784
6689.09,2019/10/30,6448.931419999999,6464.47241,0.8822223748380851,7.847165160230074,6.5936587934540265,44.207066557107645
6711.02,2019/10/29,6441.437819999999,6461.222709999999,0.8904322874840558,9.905466502260584,6.553927672611801,42.252363337443484
6728.69,2019/10/28,6434.89922,6457.588409999999,0.910866397563452,15.87171052631579,6.645824814558989,46.79276315789474
6770.86,2019/10/25,6426.58742,6453.998509999999,0.932688649222274,24.51665981077746,6.75552399568057,51.99506375976964
6788.71,2019/10/24,6417.579219999999,6450.012009999999,0.9357161924910994,25.761316872427983,6.735055629676551,51.23456790123457
6714.26,2019/10/23,6406.09502,6446.391009999998,0.9225205496036198,20.419925895430218,6.676719732606385,48.373816385343765
6715.39,2019/10/22,6396.441020000001,6443.127209999999,0.9209043303460053,19.604612850082372,6.641682334108195,46.62273476112026
6740.43,2019/10/21,6388.09042,6439.70851,0.9198068925976548,19.241862381540997,6.644572233769637,46.76555418211784
6660.38,2019/10/18,6381.61482,6435.658310000002,0.9060185975719177,14.220939818631493,6.523505823043658,40.76669414674361
