cp,date,fifty_median,hundred_median,pb,pb_percentile,pe,pe_percentile
7723.718,2019/12/20,7584.562960000001,7831.470079999999,3.4233771644135236,25.66735112936345,50.48848331056022,13.620807665982204
7851.97,2019/12/19,7587.333199999999,7833.294600000001,3.495651136920494,29.65753424657534,51.25307643927916,15.821917808219178
7838.5,2019/12/18,7588.060199999999,7833.347900000001,3.488423739669797,29.26662097326936,51.1471086726921,15.558601782042494
7843.04,2019/12/17,7587.6508,7832.1673,3.4015228495453105,24.21124828532236,50.85236427135705,14.609053497942387
7781.12,2019/12/16,7586.220799999999,7829.691000000001,3.3747157517818187,22.374742621825668,50.39751307036101,13.589567604667124
7604.58,2019/12/13,7587.904399999999,7829.9425,3.2600409446824363,17.445054945054945,49.396840428169725,12.087912087912088
7569.73,2019/12/12,7594.4749999999985,7831.8068,3.2426922331460966,16.563573883161514,48.39616778597844,9.965635738831615
7562.54,2019/12/11,7600.473000000001,7835.5777,3.224298147664447,15.955983493810178,47.75937610458399,8.253094910591471
7593.66,2019/12/10,7612.546799999999,7839.112999999999,3.28123835181648,18.2381280110117,48.39616778597844,9.87611837577426
7616.96,2019/12/9,7627.16782,7842.3409999999985,3.2957837417004257,18.663911845730027,48.669078506576064,10.296143250688706
7646.69,2019/12/6,7641.333999999999,7843.197999999999,3.294294458491343,18.53893866299104,48.921785574363646,10.889042039972432
7630.29,2019/12/5,7656.346600000001,7843.888199999999,3.2362124133371104,16.344827586206897,48.88646298550129,10.586206896551724
7551.62,2019/12/4,7672.641,7845.014899999998,3.160258969673883,12.974465148378192,48.321301563703585,9.696342305037957
7474.73,2019/12/3,7688.0976,7847.129499999999,3.2138731652008667,15.400552486187845,48.07404344166709,9.392265193370166
7414.64,2019/12/2,7706.053000000001,7849.921099999999,3.228765997291696,16.033172080165862,47.932753086217666,8.84588804422944
7416.96,2019/11/29,7730.599,7855.909199999999,3.0798376763834074,10.719225449515905,48.321301563703585,9.54356846473029
7369.06,2019/11/28,7755.4796,7862.506599999999,3.033669896901838,8.858131487889274,46.66113988717284,5.259515570934256
7391.73,2019/11/27,7780.782999999999,7868.652999999999,3.0887733756379046,10.941828254847646,46.94064394279112,5.678670360110804
7420.02,2019/11/26,7807.8081999999995,7873.7519999999995,3.0381377465290864,9.043659043659044,47.367591664419955,6.652806652806653
7392.18,2019/11/25,7836.328400000001,7877.6283,3.0381377465290864,9.015256588072122,47.54420460873175,7.142857142857143
7456.79,2019/11/22,7863.2894,7879.897500000001,3.045584162574501,9.22970159611381,47.75614014190588,7.980569049271339
7488.4,2019/11/21,7887.904200000001,7882.585100000001,3.093241225265153,10.902777777777779,47.332269075557605,6.527777777777778
7411.81,2019/11/20,7911.320400000001,7884.643,3.0917519420560704,10.771369006254343,46.41388176513634,4.586518415566365
7488.14,2019/11/19,7937.606000000001,7886.514800000001,3.099198358101485,11.022253129346314,47.48423604923367,6.815020862308762
7370.06,2019/11/18,7961.974400000001,7887.877100000001,3.099198358101485,10.995128740431454,46.849673702591915,5.567153792623521
7342.73,2019/11/15,7980.750599999999,7890.5446999999995,3.0396270297381696,9.052924791086351,46.57676298199429,4.805013927576602
7403.67,2019/11/14,7996.647200000001,7892.2025,3.059423534317821,9.75609756097561,47.24681486898751,6.132404181184669
7382.07,2019/11/13,8010.3004,7891.956200000001,3.0191130924753775,8.577405857740585,47.12258442318954,5.857740585774058
7408.44,2019/11/12,8023.982800000001,7890.5981,3.060813549553767,9.69993021632938,47.8503463447832,7.745987438939288
7415.81,2019/11/11,8034.1216,7889.395500000001,3.1205842046994583,11.243016759776536,47.89743049735531,7.891061452513966
7618.98,2019/11/8,8044.3762,7888.731600000002,3.235955469283002,15.164220824598184,49.098398518675424,9.993011879804333
7658.58,2019/11/7,8051.703400000001,7886.599300000002,3.2588907206761157,16.013986013986013,48.85101898697448,9.37062937062937
7713.8,2019/11/6,8056.2582,7884.2543000000005,3.2950311168107196,17.35479356193142,48.94198922717369,9.657102869139258
7621.0,2019/11/5,8059.572600000001,7882.0929000000015,3.2764230599823483,16.80672268907563,48.88646298550129,9.38375350140056
7589.37,2019/11/4,8064.479,7878.6206,3.2674873607278507,16.468114926419062,48.669078506576064,9.180098107918711
7609.7,2019/11/1,8065.215200000001,7874.9542,3.30323015774584,17.321178120617112,48.39616778597844,8.76577840112202
7578.32,2019/10/31,8065.3512,7872.5106000000005,3.174099791283391,12.982456140350877,48.032286825181615,8.210526315789474
7584.51,2019/10/30,8066.0448,7870.8285,3.2053751340921828,14.115168539325843,47.68549496418117,7.443820224719101
7670.93,2019/10/29,8065.0383999999995,7870.459199999998,3.20259510362029,13.984539704848912,46.16397124625245,4.146170063246662
7786.75,2019/10/28,8062.591200000001,7870.324099999999,3.316046660324049,17.51054852320675,46.97463424393225,5.485232067510548
7635.29,2019/10/25,8055.63,7868.9355000000005,3.2594013572621883,15.974665728360309,46.378866668192664,4.50387051372273
7595.39,2019/10/24,8055.0274,7869.783399999998,3.2211275038420126,14.71830985915493,45.98288915128173,3.732394366197183
7594.27,2019/10/23,8052.102,7870.981100000001,3.291551394135136,16.913319238900634,46.180877909737205,4.08738548273432
7664.2,2019/10/22,8051.7388,7872.0451,3.3390109723761547,18.54724964739069,46.5802576504664,4.58392101551481
7601.1,2019/10/21,8053.1485999999995,7869.6824000000015,3.304849492831713,17.007762879322513,46.18588105700054,4.093154551870148
7596.1,2019/10/18,8056.7344,7869.914900000001,3.3198765636724876,17.372881355932204,46.71171451341343,4.872881355932203
7722.02,2019/10/17,8063.345000000001,7871.3348000000005,3.416233956618104,22.82685512367491,47.368813613314934,5.795053003533569
7759.43,2019/10/16,8069.0888,7871.7116000000005,3.3700795751231447,20.014144271570014,47.764791156581936,7.001414427157002
7804.8,2019/10/15,8073.723800000002,7870.8953,3.40246861476873,22.08067940552017,47.851024623496684,7.077140835102618
7961.95,2019/10/14,8078.001199999999,7867.988399999999,3.4429549143257114,24.008498583569406,48.464501374803234,8.073654390934845
7862.23,2019/10/11,8078.3772,7865.989100000001,3.41478051806431,22.678951098511693,48.00439534909308,7.299787384833452
7888.32,2019/10/10,8079.255999999999,7864.289700000001,3.444620015062234,23.97163120567376,48.1796738350779,7.588652482269503
7818.03,2019/10/9,8078.6356000000005,7861.58,3.4024805432131098,22.14336408800568,47.76478797738093,6.955287437899219
7771.54,2019/10/8,8076.6838,7859.825699999999,3.3793028690680402,20.525568181818183,47.566199134131026,6.3210227272727275
7865.3,2019/9/30,8073.161199999999,7859.2936,3.421930901190567,22.956645344705045,47.91675610610067,7.036247334754798
7933.11,2019/9/27,8071.980600000001,7854.5511,3.4934359873315795,26.955903271692744,48.25684647131775,7.467994310099574
7869.63,2019/9/26,8069.138600000001,7848.9327,3.4721219712703157,25.551601423487543,48.026305159841186,7.117437722419929
8166.23,2019/9/25,8070.6824000000015,7843.6706,3.6261863358193045,32.47863247863248,49.89316713077717,9.579772079772079
