cp,date,fifty_median,hundred_median,pb,pb_percentile,pe,pe_percentile
755.754,2019/12/20,703.5380799999999,711.92569,1.6993801169154978,25.063613231552164,36.7908859573294,73.15521628498728
752.84,2019/12/19,702.9662000000001,711.83005,1.6315763550749285,22.342457033736473,36.408316910316614,72.43793761935073
756.52,2019/12/18,702.1862,711.7307500000002,1.6440805090048967,22.738853503184714,36.60654352012261,72.73885350318471
754.23,2019/12/17,701.2215999999999,711.5400500000002,1.630227618677199,22.307202039515616,36.31696954290683,72.33906947100064
733.71,2019/12/16,700.2674,711.3305500000001,1.592520545477431,21.1734693877551,34.70000982372842,68.36734693877551
721.75,2019/12/13,699.8149999999998,711.5035499999999,1.5271009475194228,15.124441608168475,33.97589869926728,65.85832801531589
695.6,2019/12/12,699.9389999999999,711.6503499999999,1.4675331800629914,12.005108556832695,32.05273462195027,59.099616858237546
699.6,2019/12/11,700.4851999999998,712.1637499999998,1.478363683236888,12.396166134185304,32.42982561750262,60.191693290734825
698.72,2019/12/10,701.14,712.6599499999998,1.4772806486876657,12.340153452685422,32.241280119726454,59.65473145780051
700.13,2019/12/9,701.92184,713.20085,1.4837789348238366,12.53998720409469,32.31669831883692,59.916826615483046
701.25,2019/12/6,702.6568999999998,713.58075,1.4905479993075217,12.868117797695263,32.42982561750262,60.1472471190781
698.26,2019/12/5,703.5921000000001,713.9183499999999,1.4919018122042587,12.940422805893657,32.42982561750262,60.15374759769379
687.42,2019/12/4,704.6727000000002,714.2896499999999,1.477009870340151,12.307692307692308,32.165861920615974,59.61538461538461
689.48,2019/12/3,705.8571000000001,714.7841499999998,1.4797174961336252,12.379730596536241,32.0904437215055,59.46119307248236
684.91,2019/12/2,707.1001,715.20245,1.47294843164994,12.195121951219512,31.90189822372933,59.050064184852374
680.03,2019/11/29,708.8726999999999,715.8613499999999,1.4661793671662544,12.010276172125883,31.562516327732205,57.96403339755941
677.1,2019/11/28,710.9775,716.5777499999999,1.4567026768890947,11.696658097686376,31.37397082995603,57.390745501285345
677.45,2019/11/27,712.9195,717.3161499999999,1.4512874253021466,11.543408360128618,31.336261730400796,57.266881028938904
683.3,2019/11/26,714.7218999999999,718.1874500000001,1.465071717706776,11.776061776061775,31.562516327732205,57.915057915057915
682.86,2019/11/25,716.3647,719.0735500000001,1.4472259866119352,11.397295556986478,31.9773164228398,59.04700579523503
679.23,2019/11/22,717.8155,719.79475,1.437601622999774,11.050257731958762,31.78877092506362,58.50515463917526
681.4,2019/11/21,719.2017000000001,720.57855,1.4485797995086722,11.347517730496454,31.864189124174086,58.833010960670535
681.08,2019/11/20,720.1309000000001,721.22925,1.443164547921724,11.161290322580646,31.864189124174086,58.83870967741935
692.3,2019/11/19,720.8189,722.05035,1.4580564897858317,11.459005810200129,32.35440741839216,59.78050355067786
686.56,2019/11/18,721.2537,722.7442500000001,1.4467583212354413,11.208010335917313,32.015025522395035,59.04392764857881
677.62,2019/11/15,721.4945,723.51545,1.437601622999774,11.053652230122818,31.336261730400796,57.53070458952812
685.04,2019/11/14,721.9747,724.2630499999999,1.4467583212354413,11.125485122897802,32.20357102017121,59.379042690815005
684.54,2019/11/13,722.3889,724.5111500000002,1.4559150194711086,11.197411003236246,32.05273462195027,59.15857605177994
691.67,2019/11/12,723.0063,724.6140500000001,1.4580564897858317,11.204663212435234,32.505243816613095,60.16839378238342
689.69,2019/11/11,723.2131000000002,724.6566499999999,1.4512874253021466,11.147116007777058,32.31669831883692,59.68891769280622
703.05,2019/11/8,723.6863000000001,724.6688499999999,1.4932556251009959,11.997405966277562,33.29713490727305,62.80804150453956
712.68,2019/11/7,723.9528999999998,724.6882500000002,1.5362541056490078,14.471122647631407,33.90048050015682,64.89292667099286
709.07,2019/11/6,724.0475000000001,724.5631500000001,1.5546937648315915,16.2987012987013,34.126735097488236,66.16883116883118
716.93,2019/11/5,724.2589000000002,724.5614499999999,1.5477788926381226,15.724496426250813,34.62052989253344,67.7712800519818
707.29,2019/11/4,724.4209,724.12555,1.5212718825631586,13.101430429128738,34.164444197043466,66.3849154746424
706.34,2019/11/1,723.8487,723.8737499999999,1.5212718825631586,13.077423552374755,33.825062301046344,64.80156148340924
696.89,2019/10/31,723.2634999999999,723.7009499999999,1.5016797446816632,12.174479166666666,32.99546211083116,62.044270833333336
697.49,2019/10/30,722.8787000000001,723.5689500000001,1.5235768399609815,13.224755700325733,32.97208858756165,62.01954397394137
703.54,2019/10/29,722.4607,723.4529500000001,1.5418811511397468,14.863102998696219,33.29713490727305,62.972620599739244
718.94,2019/10/28,722.0943,723.2746500000001,1.6097681033276572,19.89562948467058,36.71282263815905,72.40704500978474
708.34,2019/10/25,721.1197,722.98035,1.5815004564115525,18.60313315926893,39.89447480610884,80.15665796344648
700.2,2019/10/24,720.5348999999999,722.8819500000001,1.5636472057276964,16.721097322011758,39.4938129357462,78.51077726975832
697.28,2019/10/23,719.9300999999999,722.89995,1.5591838930567328,16.50326797385621,39.20762588548717,77.3202614379085
702.85,2019/10/22,719.6021,722.94305,1.569598289288982,17.1353826030085,39.43657552569439,78.18835840418575
698.52,2019/10/21,719.2475,722.73305,1.5591838930567328,16.49214659685864,39.43657552569439,78.20680628272251
705.2,2019/10/18,719.2753000000001,722.56795,1.5800126849183254,18.271119842829076,39.60828910882299,78.84741322855272
721.35,2019/10/17,719.6535,722.3533499999999,1.6172069571621652,19.724770642201836,40.066188404878744,80.47182175622542
725.01,2019/10/16,719.9053,722.0497500000002,1.6491362151105138,20.721311475409838,40.46682496770378,81.37704918032787
728.24,2019/10/15,720.1584999999999,721.6104500000001,1.6651766216119244,21.325459317585302,40.69577447247155,81.75853018372703
737.65,2019/10/14,720.2157,721.0687500000001,1.6707667091932952,21.733420879842416,40.92472397723932,82.07485226526592
727.16,2019/10/11,720.3132999999999,720.72815,1.651425688256654,20.82785808147175,40.237875462936,81.14323258869908
713.84,2019/10/10,720.6939,720.4925500000002,1.601576126392835,19.46088099934254,39.77997509456264,79.9474030243261
708.29,2019/10/9,721.2753,720.26525,1.557633965524295,16.38157894736842,39.665500346089075,79.47368421052632
706.52,2019/10/8,721.8585,720.1697500000002,1.517160922619061,12.903225806451612,39.6082629718523,79.19684002633312
711.09,2019/9/30,722.3937,720.2564500000002,1.5258638891353127,13.438735177865613,40.066161965746545,80.63241106719367
727.95,2019/9/27,723.1921000000001,719.9851500000001,1.5923251451573528,18.91891891891892,40.524060959640785,81.50955833882664
722.91,2019/9/26,723.3617000000002,719.6432500000001,1.6096707349738817,19.32717678100264,40.466823585404015,81.46437994722955
732.34,2019/9/25,723.8422999999999,719.4553500000001,1.6489874052246807,20.33003300330033,41.210909450482156,82.11221122112211
737.812,2019/9/24,724.1799000000001,719.0743500000001,1.6385800513347633,20.01321003963012,41.26814682471894,82.1664464993395
