date,roe
2019-01-09,3.1106
2019-01-08,3.1211
2019-01-07,3.1507
2019-01-04,3.1513
2019-01-03,3.141
2019-01-02,3.1734
2018-12-31,3.2265
2018-12-30,3.2265
2018-12-29,3.2265
2018-12-28,3.2315
2018-12-27,3.2709
2018-12-26,3.3011
2018-12-25,3.3113
2018-12-24,3.3483
2018-12-21,3.3168
2018-12-20,3.3003
2018-12-19,3.3412
2018-12-18,3.3714
2018-12-17,3.3713
2018-12-14,3.3468
2018-12-13,3.3311
2018-12-12,3.2703
2018-12-11,3.2652
2018-12-10,3.2678
2018-12-07,3.2853
2018-12-06,3.2751
2018-12-05,3.275
2018-12-04,3.305
2018-12-03,3.35
2018-11-30,3.355
2018-11-29,3.36
2018-11-28,3.37
2018-11-27,3.4
2018-11-26,3.4151
2018-11-23,3.3917
2018-11-22,3.3917
2018-11-21,3.3716
2018-11-20,3.3771
2018-11-19,3.3772
2018-11-16,3.3515
2018-11-15,3.3915
2018-11-14,3.4218
2018-11-13,3.474
2018-11-12,3.4865
2018-11-09,3.4763
2018-11-08,3.4813
2018-11-07,3.4813
2018-11-06,3.5113
2018-11-05,3.5312
2018-11-02,3.5461
2018-11-01,3.4936
2018-10-31,3.5086
2018-10-30,3.5161
2018-10-29,3.5111
2018-10-26,3.541
2018-10-25,3.5409
2018-10-24,3.5409
2018-10-23,3.5709
2018-10-22,3.591
2018-10-19,3.5658
2018-10-18,3.5508
2018-10-17,3.5807
2018-10-16,3.5757
2018-10-15,3.5857
2018-10-12,3.5831
2018-10-11,3.5806
2018-10-10,3.6156
2018-10-09,3.6156
2018-10-08,3.6155
2018-09-30,3.6103
2018-09-29,3.6104
2018-09-28,3.6153
2018-09-27,3.6253
2018-09-26,3.6503
2018-09-25,3.6754
2018-09-21,3.6752
2018-09-20,3.7003
2018-09-19,3.6727
2018-09-18,3.6452
2018-09-17,3.6327
2018-09-14,3.6351
2018-09-13,3.6526
2018-09-12,3.6551
2018-09-11,3.6751
2018-09-10,3.6551
2018-09-07,3.6301
2018-09-06,3.6101
2018-09-05,3.6101
2018-09-04,3.6101
2018-09-03,3.5951
2018-08-31,3.5751
2018-08-30,3.5801
2018-08-29,3.6101
2018-08-28,3.6101
2018-08-27,3.6303
2018-08-24,3.6278
2018-08-23,3.6101
2018-08-22,3.6075
2018-08-21,3.63
2018-08-20,3.6326
2018-08-17,3.6524
2018-08-16,3.6141
2018-08-15,3.5829
2018-08-14,3.5519
2018-08-13,3.5826
2018-08-10,3.5525
2018-08-09,3.5476
2018-08-08,3.5222
2018-08-07,3.4876
2018-08-06,3.4568
2018-08-03,3.4567
2018-08-02,3.4713
2018-08-01,3.4638
2018-07-31,3.4812
2018-07-30,3.5213
2018-07-27,3.5212
2018-07-26,3.5361
2018-07-25,3.5614
2018-07-24,3.5615
2018-07-23,3.5186
2018-07-20,3.5135
2018-07-19,3.4409
2018-07-18,3.4708
2018-07-17,3.4808
2018-07-16,3.4808
2018-07-13,3.4858
2018-07-12,3.5158
2018-07-11,3.5107
2018-07-10,3.5431
2018-07-09,3.5432
2018-07-06,3.5259
2018-07-05,3.5005
2018-07-04,3.5107
2018-07-03,3.4955
2018-07-02,3.4668
2018-06-29,3.4756
2018-06-28,3.5304
2018-06-27,3.5529
2018-06-26,3.5804
2018-06-25,3.5803
2018-06-22,3.5604
2018-06-21,3.5753
2018-06-20,3.6054
2018-06-19,3.5603
2018-06-15,3.6028
2018-06-14,3.6227
2018-06-13,3.6627
2018-06-12,3.6853
2018-06-11,3.6502
2018-06-08,3.6453
2018-06-07,3.6702
2018-06-06,3.6602
2018-06-05,3.6602
2018-06-04,3.6532
2018-06-01,3.6202
2018-05-31,3.6129
2018-05-30,3.5976
2018-05-29,3.6001
2018-05-28,3.6101
2018-05-25,3.6126
2018-05-24,3.6501
2018-05-23,3.64
2018-05-22,3.67
2018-05-21,3.6939
2018-05-18,3.7099
2018-05-17,3.712
2018-05-16,3.7076
2018-05-15,3.7151
2018-05-14,3.6937
2018-05-11,3.6882
2018-05-10,3.6924
2018-05-09,3.7074
2018-05-08,3.6922
2018-05-07,3.6518
2018-05-04,3.6319
2018-05-03,3.6467
2018-05-02,3.6665
2018-04-28,3.6217
2018-04-27,3.6364
2018-04-26,3.6344
2018-04-25,3.6118
2018-04-24,3.5855
2018-04-23,3.6019
2018-04-20,3.5215
2018-04-19,3.5064
2018-04-18,3.5013
2018-04-17,3.6512
2018-04-16,3.6561
2018-04-13,3.7062
2018-04-12,3.7109
2018-04-11,3.7109
2018-04-10,3.7159
2018-04-09,3.6959
2018-04-08,3.7008
2018-04-04,3.7234
2018-04-03,3.7507
2018-04-02,3.7357
2018-03-30,3.7407
2018-03-29,3.7456
2018-03-28,3.7406
2018-03-27,3.7432
2018-03-26,3.7307
2018-03-23,3.7005
2018-03-22,3.748
2018-03-21,3.763
2018-03-20,3.7906
2018-03-19,3.8104
2018-03-16,3.8154
2018-03-15,3.8257
2018-03-14,3.8413
2018-03-13,3.8362
2018-03-12,3.8243
2018-03-09,3.8278
2018-03-08,3.8203
2018-03-07,3.8203
2018-03-06,3.8253
2018-03-05,3.8453
2018-03-02,3.8352
2018-03-01,3.8201
2018-02-28,3.8202
2018-02-27,3.8201
2018-02-26,3.8452
2018-02-24,3.8652
2018-02-23,3.8702
2018-02-22,3.8752
2018-02-14,3.8702
2018-02-13,3.87
2018-02-12,3.875
2018-02-11,3.8775
2018-02-09,3.88
2018-02-08,3.8801
2018-02-07,3.87
2018-02-06,3.8825
2018-02-05,3.9167
2018-02-02,3.9092
2018-02-01,3.9066
2018-01-31,3.914
2018-01-30,3.9292
2018-01-29,3.9368
2018-01-26,3.9365
2018-01-25,3.9435
2018-01-24,3.9507
2018-01-23,3.9414
2018-01-22,3.9522
2018-01-19,3.9754
2018-01-18,3.9797
2018-01-17,3.9597
2018-01-16,3.9596
2018-01-15,3.965
2018-01-12,3.9337
2018-01-11,3.9546
2018-01-10,3.9201
2018-01-09,3.8909
2018-01-08,3.911
2018-01-05,3.9212
2018-01-04,3.9319
2018-01-03,3.9162
2018-01-02,3.9008
2017-12-31,3.8807
2017-12-30,3.8807
2017-12-29,3.8807
2017-12-28,3.8857
2017-12-27,3.8956
2017-12-26,3.8881
2017-12-25,3.8731
2017-12-22,3.878
2017-12-21,3.9005
2017-12-20,3.9005
2017-12-19,3.9005
2017-12-18,3.8904
2017-12-15,3.8904
2017-12-14,3.9104
2017-12-13,3.9303
2017-12-12,3.9378
2017-12-11,3.9303
2017-12-08,3.9102
2017-12-07,3.8927
2017-12-06,3.8752
2017-12-05,3.8752
2017-12-04,3.8902
2017-12-01,3.8852
2017-11-30,3.8901
2017-11-29,3.9101
2017-11-28,3.9601
2017-11-27,3.9501
2017-11-24,3.9463
2017-11-23,3.9851
2017-11-22,3.985
2017-11-21,3.95
2017-11-20,3.94
2017-11-17,3.92
2017-11-16,3.9225
2017-11-15,3.95
2017-11-14,3.9525
2017-11-13,3.95
2017-11-10,3.9
2017-11-09,3.8863
2017-11-08,3.8725
2017-11-07,3.8813
2017-11-06,3.8694
2017-11-03,3.8816
2017-11-02,3.8718
2017-11-01,3.863
