cp,date,fifty_median,hundred_median,pb,pb_percentile,pe,pe_percentile
3281.99,2021/6/22,3068.8451999999997,3019.014799999999,6.945517667207454,85.7025472473295,56.47845555584641,60.68200493015612
3270.58,2021/6/21,3059.3494,3017.0397999999986,7.090361801038855,87.51027115858669,56.048192621999824,59.737058340180766
3239.23,2021/6/18,3050.5698,3015.8259999999987,6.737698763009331,82.49794576828265,55.42756425028731,58.95645028759244
3188.59,2021/6/17,3042.8298000000004,3014.3331,6.664719190862322,80.81347576006574,55.02717516515057,58.05258833196386
3125.7,2021/6/16,3035.3662,3013.3389999999995,6.56393989016572,79.08792111750205,54.57773657768384,56.861133935907965
3262.19,2021/6/15,3028.0222000000012,3013.385,6.8710531538183615,84.83976992604767,56.872723494552325,61.54478225143797
3298.5,2021/6/11,3018.2048,3012.5665999999987,5.994481191983372,67.21446179129006,57.90095917067282,63.270336894001645
3285.51,2021/6/10,3006.914,3010.510199999999,6.066350007607657,68.48808545603944,58.784738392264224,65.77649958915366
3207.63,2021/6/9,2996.1117999999988,3009.1629,6.079879519145701,68.85784716516025,57.9063512036464,63.35250616269515
3208.57,2021/6/8,2985.0792,3008.7106,6.261664474779973,72.96631059983567,57.523500467642286,62.69515201314708
3228.24,2021/6/7,2973.5999999999995,3007.7758000000013,6.390496669376452,75.63681183237469,58.55076812600712,64.91372226787182
3242.61,2021/6/4,2962.3967999999986,3006.4732,6.299252440155404,73.70583401807723,58.379509300449655,64.50287592440428
3201.78,2021/6/3,2951.5097999999994,3004.8282,6.276391165983447,73.33607230895645,58.61244978735907,65.07806080525883
3243.02,2021/6/2,2940.9046,3002.473,6.204724048304527,71.73377156943303,57.99318868608997,63.72226787181594
3300.16,2021/6/1,2931.0188,2999.0482,6.312574595639905,74.11668036154478,58.63421743516908,65.16023007395235
3309.07,2021/5/31,2919.098400000001,2994.1766,6.219798994478243,72.14461791290056,58.87279738744152,66.10517666392771
3232.29,2021/5/28,2906.3594,2989.514,6.135011993404857,70.29580936729663,56.946252804493675,62.28430566967954
3226.11,2021/5/27,2894.5938,2985.5991,6.140846498406766,70.58340180772392,56.27956478668068,60.80525883319638
3196.85,2021/5/26,2885.2078,2981.5455,6.031783863210808,68.48808545603944,55.69150959461892,59.90139687756778
3227.36,2021/5/25,2876.2023999999988,2978.0067,5.954191799662789,67.17337715694329,56.7360749413038,61.83237469186524
3139.69,2021/5/24,2865.1892,2973.8505999999993,5.8850711814340375,65.7354149548069,55.548981781818895,59.737058340180766
3113.26,2021/5/21,2855.0644,2971.2781,5.837535816744236,64.91372226787182,54.51248827647651,57.436318816762544
3143.62,2021/5/20,2847.3759999999997,2967.9528,5.887084630261644,65.89975349219392,55.27673754216188,59.16187345932621
3114.72,2021/5/19,2841.9429999999993,2964.3728,5.8621225478755425,65.48890714872638,55.30578786482912,59.285127362366474
3090.12,2021/5/18,2836.686,2960.8320000000012,5.813731675576108,64.46179129005752,54.43545749279133,57.31306491372226
3112.74,2021/5/17,2834.8386,2957.5192999999995,5.858587893153023,65.48890714872638,54.71963252774884,57.88824979457683
3033.81,2021/5/14,2831.9216,2953.657899999999,5.665418357526729,61.0517666392769,52.48679204806956,54.313886606409206
2943.62,2021/5/13,2831.1404,2950.1976,5.477387017423656,58.34018077239113,51.48770922544417,52.341824157765
2960.36,2021/5/12,2830.5502,2947.9469,5.7426317991520826,62.81840591618735,53.33195994518749,55.95727198027937
2921.34,2021/5/11,2830.8865999999994,2945.3216,5.7559332178562235,63.270336894001645,53.00433001077728,55.341002465078056
2921.72,2021/5/10,2832.6089999999995,2943.5710000000013,5.8289046330371015,64.95480690221856,52.80617205264132,54.93015612161053
2910.41,2021/5/7,2836.4218,2941.6186,5.714526763948939,62.16105176663928,54.060510219141705,56.82004930156122
3014.81,2021/5/6,2840.987,2939.822900000001,5.892225896771173,65.98192276088743,54.35978326167578,57.18981101068202
3091.4,2021/4/30,2846.4014,2936.800000000001,6.247255620235312,72.9252259654889,55.23668669097364,59.20295809367297
3051.42,2021/4/29,2850.9762000000005,2932.7157,6.139468189942329,70.58340180772392,54.30825785200936,57.23089564502875
3050.58,2021/4/28,2858.224,2929.1859000000004,5.9768156262163785,67.5431388660641,55.86017848126707,60.147904683648306
2986.03,2021/4/27,2863.8972,2924.999000000001,6.0677165799091926,69.02218570254726,55.01244490507286,58.87428101889893
2969.4,2021/4/26,2869.737799999999,2921.3286,6.188681729380436,71.4872637633525,60.47112184404256,69.18652423993426
2994.49,2021/4/23,2874.224,2917.7285,6.127795788680725,70.33689400164339,67.24183976131782,77.40345110928513
2939.39,2021/4/22,2878.3452,2913.9389,6.146453112741277,70.78882497945769,67.30470021733953,77.52670501232541
2916.97,2021/4/21,2884.0327999999995,2911.293,6.138113974259936,70.62448644207066,67.23923227241757,77.44453574363189
2896.11,2021/4/20,2890.2674,2908.9869,6.095605471636679,69.76170912078882,66.95023613306401,77.28019720624486
2898.73,2021/4/19,2895.545,2906.6967000000004,5.9269563056900285,66.92686935086277,65.99532390595843,76.17091207888251
2783.37,2021/4/16,2900.147599999999,2904.1609999999987,5.816906589503128,65.1191454396056,63.193538582752716,72.10353327855383
2790.64,2021/4/15,2907.7173999999995,2902.534,5.8217538796841835,65.24239934264585,63.372516339050506,72.35004108463434
2804.41,2021/4/14,2917.5252,2901.2085,5.795895741516943,64.7493837304848,64.03709283986313,73.87017255546425
2742.85,2021/4/13,2926.6042,2900.2885,5.738132835465914,63.434675431388655,61.3761667672758,70.58340180772392
2719.95,2021/4/12,2938.851999999999,2899.9280999999987,5.822419492239372,65.2834839769926,60.73520502931359,69.80279375513557
