date,cp,pb,pe,pb_percentile,pe_percentile,fifty_median,hundred_median
2016/6/20,4320.21,1.6089443296525716,10.727044131227947,28.55764592378196,15.870718765074772,4348.357400000001,4264.583299999999
2016/6/17,4314.6,1.6188329858205577,10.707190140339561,29.633204633204635,15.733590733590734,4350.0064,4264.3239
2016/6/16,4298.88,1.6138756487545758,10.695213644828199,29.26122646064703,15.548044422984066,4352.5016,4263.3066
2016/6/15,4319.81,1.6300214731602929,10.793130225380628,31.11111111111111,16.76328502415459,4354.7914,4262.5054
2016/6/14,4301.43,1.6166468212201446,10.717502950544489,29.43450942484292,15.756404059932335,4356.312800000001,4262.5118
2016/6/13,4276.6,1.6003382501671328,10.656618184413949,27.707930367504837,14.941972920696324,4358.3662,4262.2695
2016/6/8,4377.4,1.6401324978416516,10.697496520349842,32.46250604741171,15.578132559264635,4358.7880000000005,4262.684700000001
2016/6/7,4388.18,1.6510524522961647,10.69416914973698,33.73668925459826,15.488867376573088,4357.4758,4261.8336
2016/6/6,4380.87,1.6572727790809187,10.684187037898397,34.455205811138015,15.351089588377723,4357.2884,4263.098099999999
2016/6/3,4414.28,1.6572727790809187,10.760716561994213,34.44767441860465,16.13372093023256,4356.7321999999995,4263.737499999999
2016/6/2,4399.7,1.6529438461854866,10.717460744027012,34.028114396509935,15.559864275327193,4357.363,4266.5575
2016/6/1,4404.34,1.656128709087578,10.744079708929904,34.33559650824442,15.85838991270611,4358.0296,4269.1122
2016/5/31,4448.25,1.6826692332716735,10.88715664528295,37.06938379427462,17.418728772440563,4359.8274,4271.3117
2016/5/30,4304.19,1.5857388270906771,10.617639625641166,26.067961165048544,14.320388349514563,4357.995800000001,4275.9405
2016/5/27,4269.54,1.5765071365352905,10.51449113664246,24.817872753763965,12.67605633802817,4358.3826,4282.2135
2016/5/26,4273.9,1.5903082091110203,10.524473248481039,26.43343051506317,12.876579203109815,4359.6903999999995,4288.8832999999995
2016/5/25,4263.18,1.5786303784700182,10.51781850725532,25.085075352455032,12.76130286825474,4359.11,4294.9711
2016/5/24,4244.5,1.5818152413721098,10.527800619093904,25.486381322957197,12.84046692607004,4358.0296,4302.88
2016/5/23,4281.24,1.5828768623394736,10.591020660738273,25.693430656934307,13.844282238442823,4357.1428000000005,4310.76
