cp,date,fifty_median,hundred_median,pb,pb_percentile,pe,pe_percentile
10182.97,2019/10/2,10282.83902,10478.670240000001,1.1163260603123222,31.01889893179951,9.068585808707462,12.612982744453575
10200.97,2019/9/30,10295.37802,10485.291140000001,1.1179459329278205,31.22432210353328,9.080028824222651,12.777321281840592
10148.77,2019/9/27,10306.76484,10494.25513,1.1161552658601241,30.977814297452753,9.038144082028237,12.119967132292523
10212.271,2019/9/26,10321.97762,10505.37793,1.1196818928273373,31.34757600657354,9.055812116999324,12.243221035332786
10168.78,2019/9/25,10333.423219999999,10515.59182,1.1267284738141035,32.08709942481512,9.089887546199538,12.777321281840592
10271.03,2019/9/24,10347.005819999998,10529.65452,1.1421362684735268,34.01807723911257,9.134507269009692,13.229252259654888
10287.92,2019/9/23,10358.895620000001,10542.511420000003,1.136631849854612,33.48397699260477,9.282100031796974,15.365653245686113
10375.649,2019/9/20,10369.91702,10555.05472,1.164940934033355,38.37304847986853,9.463350984235978,18.11832374691865
10385.351,2019/9/19,10378.170839999999,10567.68003,1.1577524410455446,36.77074774034511,9.556628535721458,20.66557107641742
10478.5,2019/9/18,10386.144020000002,10578.935220000001,1.1685754168273361,39.19474116680362,9.65744003735848,23.04847986852917
10502.369,2019/9/17,10390.61242,10589.17062,1.1767755707080747,40.714872637633526,9.49457213555655,18.98110106820049
10628.25,2019/9/16,10393.577659999999,10600.78473,1.1883517279476086,42.72801972062449,9.649978443921235,22.801972062448645
10687.75,2019/9/13,10395.51666,10611.81243,1.204103434954634,45.85045193097781,9.8252707206356,25.883319638455216
10592.369,2019/9/12,10399.66366,10622.62124,1.19616152043402,44.08381265406738,9.697076330414529,23.582580115036976
10565.01,2019/9/11,10406.0841,10635.18735,1.1863742316775303,42.440427280197206,9.61297138958075,22.103533278553822
10403.34,2019/9/10,10413.23208,10647.74905,1.1634918558700547,38.00328677074774,9.47326784234477,18.405916187345934
10417.391,2019/9/9,10424.789879999998,10660.03425,1.164441896572082,38.20870994248151,9.47133108966976,18.364831552999178
10430.67,2019/9/6,10434.07906,10672.458740000004,1.0937140017686828,27.567789646672146,9.454491261374162,17.871815940838125
10384.14,2019/9/5,10443.40826,10684.332440000002,1.0737031836228197,24.075595727198028,9.483704817826176,18.57025472473295
10288.19,2019/9/4,10451.04666,10698.13104,1.0613187472092906,21.857025472473296,9.400939338285639,17.091207888249794
10035.78,2019/9/3,10460.13104,10713.39914,1.0388444292849677,17.378800328677073,9.04034734933435,12.119967132292523
10103.36,2019/9/2,10478.47424,10730.97783,1.057032991012889,20.829909613804436,9.140742436354321,13.270336894001643
10083.2,2019/8/30,10494.836459999999,10746.867919999999,1.060475090212433,21.69268693508628,9.134721299741184,13.188167625308134
9992.64,2019/8/29,10511.62028,10763.08752,1.0192092072582803,14.543960558751028,9.001215646925964,11.585866885784716
9980.729,2019/8/28,10527.06148,10778.627719999999,1.0173312569470605,14.297452752670502,9.32546739513978,15.817584223500411
9996.19,2019/8/27,10537.599880000002,10794.396739999998,1.0107514460191598,13.845521774856204,9.364775855355788,16.351684470008216
10013.511,2019/8/26,10546.246479999998,10808.231040000002,1.0079288056843587,13.640098603122432,9.449568609523453,17.41988496302383
10194.729,2019/8/23,10554.37366,10821.044030000001,1.0671712334780112,22.432210353327854,10.218950623124709,34.67543138866064
10122.9,2019/8/22,10559.92788,10832.150340000002,1.0718730940946921,23.212818405916188,10.031315480234923,30.649137222678718
10177.29,2019/8/21,10567.36548,10843.238630000003,1.0765711447993924,24.239934264585045,10.081927007444378,31.840591618734592
10132.77,2019/8/20,10576.222279999998,10853.786430000002,1.073747234493931,23.664749383730484,10.04088221602047,30.731306491372226
10109.15,2019/8/19,10584.10528,10867.633530000001,1.06340771303161,21.857025472473296,10.030082289294539,30.525883319638456
9964.3,2019/8/16,10588.60868,10881.98293,1.0521222315750474,19.474116680361544,9.915580251605494,27.567789646672146
9903.409,2019/8/15,10596.223680000001,10898.58973,1.0577700521859699,20.788824979457683,9.884239569107743,26.74609695973706
9866.18,2019/8/14,10604.9779,10916.42224,1.0456647738427414,18.364831552999178,9.953852798090697,28.38948233360723
9846.64,2019/8/13,10616.2671,10934.508739999997,1.0518209735510222,19.309778142974526,9.898310016671022,26.95152013147083
9997.94,2019/8/12,10627.0777,10951.124039999999,1.0695504069494883,22.637633525061627,10.091601238389723,31.840591618734592
9993.84,2019/8/9,10636.120700000001,10965.617349999999,1.0781125520708852,24.116680361544784,9.966445227987094,28.553820870994247
10041.62,2019/8/8,10644.05288,10979.737149999999,1.072211614057799,23.04847986852917,9.789975532656587,24.979457682826624
9993.34,2019/8/7,10651.551500000001,10993.982349999998,1.071184306793806,22.801972062448645,9.74329920025858,24.116680361544784
10012.24,2019/8/6,10659.7399,11006.818049999996,1.0805881986274497,24.322103533278554,9.873545959787597,26.458504519309777
10081.64,2019/8/5,10668.405900000002,11018.26385,1.094706309583814,26.705012325390303,9.872288062831267,26.417419884963024
10348.631,2019/8/2,10674.7953,11032.04825,1.1250541174827644,30.813475760065735,10.119181960407996,32.128184059161875
10621.569,2019/8/1,10679.9137,11044.482240000001,1.145570807068467,33.442892358258014,10.415311677242698,37.05834018077239
10675.311,2019/7/31,10680.17472,11054.092640000003,1.1527521393516986,34.716516023007394,10.425484085261608,37.26376335250616
10818.351,2019/7/30,10679.336900000002,11063.09482,1.1591605365457558,36.03122432210353,10.604944817574946,41.94741166803615
10780.591,2019/7/29,10676.744879999998,11069.98071,1.1622424583377349,36.729663105998355,10.554884964661854,40.38619556285949
10853.17,2019/7/26,10677.36546,11075.84929,1.165833124479351,37.1405094494659,10.631254487461478,42.72801972062449
10930.36,2019/7/25,10676.38486,11081.890300000001,1.1749777348558164,38.78389482333607,10.770827774880635,46.6721446179129
10858.88,2019/7/24,10673.058060000001,11088.026199999998,1.175572906357846,38.907148726376334,10.611277995303906,41.988496302382906
10809.92,2019/7/23,10674.50146,11095.747699999998,1.1807860512654846,40.18077239112572,10.615507395947763,42.11175020542317
10770.311,2019/7/22,10675.20426,11101.9214,1.1754815699230936,38.86606409202958,10.620170659892834,42.235004108463436
10909.409,2019/7/19,10681.74542,11107.27809,1.1964254859884,42.52259654889072,10.804706672978801,47.41166803615448
10784.551,2019/7/18,10688.77824,11110.478310000002,1.1993345534755937,43.17995069843878,10.668083042773517,43.59079704190633
10847.91,2019/7/17,10697.760419999999,11113.802,1.2037796725764172,44.08381265406738,10.711354008182784,44.53574363188168
10865.52,2019/7/16,10712.30322,11116.813100000001,1.2060886592792217,44.45357436318817,10.715171391999084,44.74116680361545
