日期,cp,pb,pe
2019/6/11,3719.28,1.9449896953765582,20.99365201027991
2019/6/10,3610.74,1.8995700788579537,20.301419603266112
2019/6/6,3564.68,1.8872013351184855,19.97427561812132
2019/6/5,3597.1,1.901148944380611,20.374142359845443
2019/6/4,3598.47,1.8935526690615552,20.179837662499615
2019/6/3,3632.01,1.908353167263451,20.294995796871415
2019/5/31,3629.79,1.9201959971268439,20.50202831877558
2019/5/30,3641.18,1.92262467174662,20.585723932097338
2019/5/29,3663.91,1.9441993765675512,20.858816242109
2019/5/28,3672.26,1.9509182669003575,21.14133743711043
2019/5/27,3637.2,1.9382027195227258,21.00296702370136
2019/5/24,3593.91,1.894712356697247,20.52442651663368
2019/5/23,3583.96,1.9036917632794002,20.490507338404484
2019/5/22,3649.38,1.9246619997225305,20.722634596226847
2019/5/21,3666.78,1.9557096459659566,21.02275691403324
2019/5/20,3617.79,1.8999719096653158,20.608660471785463
2019/5/17,3648.76,1.9451513067520083,20.819241247259022
2019/5/16,3743.96,2.0121253963786367,21.631633887225235
2019/5/15,3727.09,2.00280623167139,21.244752820017247
2019/5/14,3645.15,1.9666934332922659,20.88281405190164
2019/5/13,3668.73,1.9713549760087308,21.138843909186036
2019/5/10,3730.45,2.0056605015186886,21.054855745342245
2019/5/9,3599.7,1.9316012533490223,20.516441911052006
2019/5/8,3667.46,1.971095560183316,20.838439138717916
2019/5/7,3720.67,1.9682536566767186,21.06317111247128
2019/5/6,3684.62,1.9308343238214056,20.72498839179821
2019/4/30,3913.21,2.0638280999936853,22.402789245771128
2019/4/29,3900.33,2.0565525963237428,22.56758715904295
2019/4/26,3889.27,2.1429642100964834,23.26539118293663
2019/4/25,3941.82,2.1977218371481624,23.109149985769605
2019/4/24,4030.09,2.260121675909827,23.80776176143258
2019/4/23,4019.01,2.183685670641278,24.05069873164268
2019/4/22,4025.61,2.242063210026105,22.964418029245238
2019/4/19,4120.61,2.3150159044748175,23.27614565618277
2019/4/18,4072.08,2.3030383115231983,23.44581864080532
2019/4/17,4087.24,2.2885981252542877,23.579149955650134
2019/4/16,4085.79,2.3030013854126743,23.38280539901467
2019/4/15,3975.52,2.238488083474904,22.839789601054946
2019/4/12,3988.62,2.3032841313106993,22.896111262693758
2019/4/11,3997.58,2.2973588037899715,22.86670974491085
2019/4/10,4085.85,2.364480877849336,23.15211465217974
2019/4/9,4075.43,2.4072340617694694,23.122164174055563
2019/4/8,4057.23,2.350745719216894,23.151587452253807
2019/4/4,4062.23,2.3913705254115074,23.37062636522999
2019/4/3,4022.16,2.3975031813041556,23.137851743931726
2019/4/2,3971.29,2.3035584184782603,23.151495608573164
2019/4/1,3973.93,2.3152391210237395,23.224865225611346
2019/3/29,3872.34,2.2823824671516326,22.048932758766014
2019/3/28,3728.4,2.1855893514894307,21.38878633690645
2019/3/27,3743.39,2.242333406443109,21.93064663025543
2019/3/26,3700.44,2.2452543490499357,21.338537461973843
2019/3/25,3742.83,2.2758319106175486,21.848055179623106
2019/3/22,3833.8,2.312417634595008,21.994205317977517
2019/3/21,3836.89,2.3053551208591676,22.04680457927303
2019/3/20,3835.44,2.278790774257941,21.597102509785344
2019/3/19,3833.96,2.2688563912207718,21.772124994845818
2019/3/18,3851.75,2.3045412692212874,21.908072570546295
2019/3/15,3745.0,2.210905736832079,20.810535604840652
2019/3/14,3698.49,2.2233322714051442,20.541256516287802
2019/3/13,3724.19,2.251249992927165,20.88901854044712
2019/3/12,3755.35,2.2775933754762536,21.72940333291407
2019/3/11,3729.95,2.255646432361909,21.17055238773166
2019/3/8,3657.58,2.1530742642824845,20.35818901896758
2019/3/7,3808.85,2.263087885869148,21.33410195957356
2019/3/6,3848.09,2.284791658893595,21.541141483127085
2019/3/5,3816.01,2.2411878624168553,21.300291821255335
2019/3/4,3794.1,2.221306792187943,20.9316630915797
2019/3/1,3749.71,2.187356266062287,20.325323181457172
2019/2/28,3669.37,2.1467277758848966,20.013826268381518
2019/2/27,3678.39,2.1628894002322383,20.226280882355795
2019/2/26,3684.69,2.189246044510605,20.219486706350622
2019/2/25,3729.48,2.196137359622319,20.619761315142
2019/2/22,3520.12,2.0537524206401905,19.5923625323718
2019/2/21,3442.71,2.032432248432422,18.7574746195003
2019/2/20,3451.93,2.0253232748105834,18.669033685378253
2019/2/19,3439.61,2.034934180294232,19.05127814060542
2019/2/18,3445.74,1.9839354000795297,19.1139223616699
2019/2/15,3338.7,1.910821831036972,18.571554546486325
2019/2/14,3402.14,1.932372477197686,18.76554900331481
2019/2/13,3397.03,1.9215801799277128,18.789750984809114
2019/2/12,3330.34,1.887406335362852,18.458237012753475
2019/2/11,3306.47,1.8645453567879955,18.234750942533275
2019/2/1,3247.4,1.8247165091063864,17.885614098875934
2019/1/31,3201.63,1.7796117507077125,17.46839351013854
2019/1/30,3168.48,1.800823384082201,17.282995780657743
2019/1/29,3193.97,1.8121665606460025,17.322439485597435
2019/1/28,3183.78,1.8320343647071602,17.328632055319996
2019/1/25,3184.47,1.816134078680492,17.437268748891633
2019/1/24,3158.78,1.803318446061028,17.42461041236396
2019/1/23,3141.05,1.782811760613244,17.32920754904135
2019/1/22,3143.32,1.797834614579458,17.366964766560905
2019/1/21,3185.64,1.8216957919205354,17.705061644454386
2019/1/18,3168.17,1.7996826641385804,17.55116397931561
2019/1/17,3111.42,1.778708323855138,17.046833578666323
2019/1/16,3128.65,1.7911806274064528,17.226929157283713
2019/1/15,3127.99,1.7854809788501775,17.074935947878792
2019/1/14,3067.78,1.7420249619688448,16.823953354386596
